top_k,class,tp,fp,fn,tn,accuracy,precision,recall,fpr,fnr
1,computer,191,6,9,166,0.9596774193548387,0.9695431472081218,0.955,0.03488372093023256,0.045
1,book,65,7,6,294,0.9650537634408602,0.9027777777777778,0.9154929577464789,0.023255813953488372,0.08450704225352113
2,computer,197,62,3,110,0.8252688172043011,0.7606177606177607,0.985,0.36046511627906974,0.015
2,book,70,175,1,126,0.5268817204301075,0.2857142857142857,0.9859154929577465,0.5813953488372093,0.014084507042253521
