class,support,precision,recall,f1
computer,200,0.9695431472081218,0.955,0.9622166246851386
book,71,0.9027777777777778,0.9154929577464789,0.9090909090909091
other,101,0.9223300970873787,0.9405940594059405,0.9313725490196079
