model,accuracy,macro_precision,macro_recall,macro_f1,other_to_target_fpr
yolov8n,0.791095890410959,0.8462773429660846,0.7366618601297765,0.7333323406494138,0.0136986301369863
yolov8s,0.797945205479452,0.7867541557305336,0.7876267724104782,0.7591036414565826,0.0136986301369863
rtmdet-tiny,0.9006849315068494,0.8831131831131831,0.8405263157894737,0.8452264381884945,0.0
nanodet-plus-m-320,0.8904109589041096,0.8659937888198758,0.7791961067051189,0.7940371462660482,0.0410958904109589
picodet-s-320,0.9178082191780822,0.8626250942040415,0.7954289834174477,0.8099854075463832,0.0273972602739726
yolox-nano,0.8493150684931506,0.7937430786267995,0.7173636145157415,0.7122671058154929,0.0136986301369863
yolox-tiny,0.8801369863013698,0.8912299091544374,0.7323636145157414,0.7421915123003039,0.0136986301369863
