class,images,top1,top2,recovered,gain_pp
all,292,0.9006849315068494,0.9794520547945206,23,7.876712328767123
computer,200,0.89,0.975,17,8.5
book,19,0.631578947368421,0.9473684210526315,6,31.57894736842105
other,73,1.0,1.0,0,0.0
