top_k,class,tp,fp,fn,tn,accuracy,precision,recall,fpr,fnr
1,computer,178,3,22,169,0.9327956989247311,0.9834254143646409,0.89,0.01744186046511628,0.11
1,book,48,1,23,300,0.9354838709677419,0.9795918367346939,0.676056338028169,0.0033222591362126247,0.323943661971831
2,computer,195,20,5,152,0.9327956989247311,0.9069767441860465,0.975,0.11627906976744186,0.025
2,book,70,72,1,229,0.803763440860215,0.49295774647887325,0.9859154929577465,0.23920265780730898,0.014084507042253521
