class,images,top1,top2,recovered,gain_pp
all,372,0.8763440860215054,0.9838709677419355,40,10.75268817204301
computer,200,0.89,0.975,17,8.5
book,71,0.676056338028169,0.9859154929577465,22,30.985915492957748
other,101,0.9900990099009901,1.0,1,0.9900990099009901
